Property_ID,Date,Expense_Type,Amount,Description
P001,2025-07-14,Insurance,1630.26,Property within mission practice.
P001,2024-09-15,Repairs,4298.96,Thus water.
P001,2024-11-07,Repairs,2678.09,Entire.
P001,2024-11-13,Insurance,2813.43,View eye.
P001,2024-08-08,Taxes,1888.11,Worry sound.
P001,2024-09-15,Marketing,3078.69,Several.
P001,2025-06-07,Marketing,1963.45,Window oil.
P001,2025-02-14,Marketing,676.71,Talk miss.
P001,2024-10-06,Insurance,1723.99,There information series.
P001,2024-10-05,Repairs,528.71,Key I million.
P001,2025-05-29,Insurance,4902.6,Mission.
P001,2024-10-18,Insurance,4845.86,Pass prepare method.
P001,2025-07-24,Landscaping,2278.2,Age beautiful tend.
P001,2025-01-15,Repairs,3777.67,Draw.
P001,2024-12-06,Landscaping,2056.13,Kind trade.
P002,2024-11-18,Utilities,4191.92,Quality into.
P002,2025-02-28,Repairs,2482.58,Beautiful Republican.
P002,2025-06-27,Repairs,1095.82,Enjoy worker.
P002,2025-06-09,Repairs,2220.14,Open fund.
P002,2024-12-18,Marketing,3287.05,Able stand keep.
P002,2025-06-04,Marketing,2544.81,Knowledge son go.
P002,2025-05-21,Landscaping,4010.85,Stand.
P002,2025-03-08,Landscaping,4989.3,Partner describe yeah.
P002,2024-08-13,Repairs,1360.09,Against agreement expert.
P002,2024-11-19,Landscaping,2568.43,Themselves sense chance star.
P002,2025-03-04,Marketing,2439.43,Wall summer.
P002,2024-11-30,Insurance,1870.22,Glass or yard.
P002,2025-04-07,Insurance,1391.43,Those middle.
P002,2025-05-31,Insurance,795.61,Environmental almost.
P002,2024-10-17,Landscaping,4492.04,Minute see.
P003,2025-01-03,Utilities,1882.47,Bed worry.
P003,2025-06-08,Marketing,2959.06,Can point hope.
P003,2025-07-23,Utilities,2377.37,Everything account box.
P003,2025-03-06,Landscaping,1221.02,Quickly seek.
P003,2025-07-11,Taxes,1269.21,Federal.
P003,2025-06-05,Repairs,2381.65,Cover enter.
P003,2024-12-07,Marketing,3907.77,Fall thank year than.
P003,2025-07-27,Insurance,4540.84,Want sometimes onto.
P003,2024-09-18,Utilities,878.57,Blood foreign.
P003,2024-12-18,Taxes,2268.97,Owner strong product.
P003,2025-04-28,Taxes,951.11,Interview yeah.
P003,2025-05-19,Marketing,574.67,May also.
P003,2024-08-11,Marketing,3477.73,Hand stage seem.
P003,2025-07-22,Taxes,3211.02,Month charge see.
P004,2025-05-28,Repairs,845.63,Adult.
P004,2025-05-16,Repairs,1557.47,Great.
P004,2025-07-16,Utilities,4235.68,Story girl pull.
P004,2025-07-12,Repairs,4767.13,Fall.
P004,2025-01-16,Taxes,1870.71,Meet red message shake.
P004,2025-01-14,Taxes,1690.32,Evidence bit it.
P004,2025-05-03,Landscaping,1759.52,Test hard.
P004,2025-04-07,Taxes,1749.74,Agreement a.
P004,2025-01-22,Repairs,661.69,Weight worry.
P004,2024-11-25,Insurance,4671.12,Property turn relate.
P004,2025-07-26,Utilities,1461.64,List radio identify.
P005,2025-06-13,Landscaping,543.59,Commercial culture per.
P005,2024-11-13,Repairs,4360.8,Should building.
P005,2024-11-01,Utilities,3790.21,Probably hotel.
P005,2024-08-06,Repairs,4760.4,Write cause.
P005,2025-01-11,Landscaping,4017.27,Fall together exist.
P005,2024-11-28,Taxes,1911.68,Low imagine long.
P005,2024-12-02,Insurance,1615.43,Anything commercial part.
P005,2024-12-10,Landscaping,3639.72,Enter.
P005,2024-08-27,Taxes,2138.51,Personal different inside.
P005,2025-07-15,Landscaping,3047.97,Pattern what.
P006,2025-01-12,Marketing,2948.89,Education consumer recognize.
P006,2024-10-04,Insurance,1738.58,Whose guy really.
P006,2025-07-10,Repairs,3692.47,Difficult adult.
P006,2025-03-22,Repairs,1721.71,Office not son.
P006,2025-03-10,Insurance,4569.09,Book product hard.
P006,2024-09-21,Marketing,2186.25,Dream outside.
P006,2025-07-25,Taxes,2974.41,Interview protect.
P006,2025-06-05,Repairs,727.58,Subject strong although.
P006,2024-11-17,Marketing,2417.55,These same.
P006,2024-08-25,Repairs,4245.64,Question kitchen.
P006,2024-12-22,Utilities,4125.42,Experience tell could.
P006,2024-10-21,Taxes,1509.43,Blue push.
P006,2024-12-26,Utilities,1517.36,Reveal night.
P006,2025-07-29,Insurance,4177.87,Dark true.
P006,2024-11-05,Taxes,4686.79,Sometimes newspaper power.
P007,2024-11-24,Marketing,2525.26,Policy relationship after her.
P007,2025-05-11,Taxes,2018.54,Kitchen every.
P007,2025-06-10,Taxes,4418.1,Everybody research.
P007,2025-06-28,Marketing,875.86,Deep.
P007,2024-09-15,Insurance,1450.07,Region house room.
P007,2025-05-16,Taxes,3886.11,Game set operation recently.
P007,2024-12-28,Insurance,730.82,Certainly.
P007,2025-06-22,Insurance,2716.41,Continue difference.
P007,2024-10-12,Insurance,2489.48,Foreign material sing.
P007,2025-02-10,Repairs,2004.81,Apply technology question leader.
P007,2025-02-03,Landscaping,2275.58,Role keep television east.
P007,2024-10-11,Insurance,2884.73,Heart whole prepare.
P007,2024-11-21,Marketing,1226.15,Within forward kitchen statement.
P008,2024-09-23,Landscaping,1438.65,Apply.
P008,2025-02-17,Insurance,1833.76,Girl behavior.
P008,2024-12-17,Marketing,4598.61,Never.
P008,2025-07-22,Marketing,2963.37,Win share agreement accept.
P008,2024-08-19,Utilities,3802.57,Dream.
P008,2025-06-13,Utilities,2059.51,Dinner group wall.
P008,2025-05-04,Taxes,2334.72,Subject wide quickly.
P008,2025-06-25,Insurance,1065.05,Address share.
P008,2025-06-16,Insurance,1270.83,Moment hot measure.
P008,2024-11-19,Landscaping,4223.1,Body culture particular.
P008,2025-04-04,Marketing,3131.77,He hundred.
P008,2025-06-24,Insurance,2018.9,Strategy check rule.
P008,2025-06-25,Taxes,4112.83,Wear challenge.
P008,2025-06-01,Repairs,1609.34,Already impact.
P008,2024-10-24,Marketing,4892.15,Letter always seem.
P008,2024-10-19,Repairs,2051.68,Teacher machine.
P008,2024-09-27,Taxes,2017.9,Agreement land.
P008,2024-11-02,Utilities,1903.6,Man some understand.
P008,2024-12-06,Taxes,1049.5,Increase pull.
P009,2025-05-20,Repairs,2350.87,Specific address.
P009,2025-04-16,Marketing,1582.39,Clear other.
P009,2025-03-21,Landscaping,3525.73,Grow sit.
P009,2025-04-10,Insurance,4217.29,Environmental believe debate.
P009,2024-10-04,Taxes,3528.91,Drop.
P009,2024-08-07,Marketing,4209.58,More from peace.
P009,2025-04-22,Insurance,2286.46,Manage own.
P009,2024-12-26,Utilities,1203.43,Leader cup door.
P009,2025-03-23,Utilities,3820.78,Organization sit.
P009,2025-04-19,Insurance,2122.14,Explain program very.
P009,2024-11-26,Utilities,3520.72,Myself seek board.
P009,2025-06-05,Marketing,1717.9,Wide she.
P010,2025-06-27,Taxes,635.1,Take particularly dream.
P010,2024-08-28,Marketing,2500.38,Financial lawyer.
P010,2025-03-31,Marketing,2770.79,Base sometimes.
P010,2024-12-31,Insurance,1027.76,Least piece natural.
P010,2025-02-06,Landscaping,1260.78,Herself bed.
P010,2025-04-07,Landscaping,2083.12,Rate teach.
P010,2024-08-01,Taxes,3927.54,Every become.
P010,2025-07-14,Insurance,2781.87,Dinner social American create.
P010,2024-08-05,Landscaping,3370.56,Course hair.
P010,2024-11-05,Utilities,4933.29,Prevent have particular.
P010,2024-11-20,Landscaping,3956.02,Stock coach.
